respondent number,task number,task text,result,time spent (seconds),path,first click,destination
30,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,168,Culture > Culture > Society > Society > Lifestyle > Lifestyle > Entertainment > Games > Games < Entertainment > Trending > Our picks > Our picks < Trending > Society > Health > Health < Society > About us > About us > Lifestyle > Finances > Finances > Personal development > Personal development > Fitness > Fitness < Lifestyle > Entertainment > Entertainment > Hobbies > Sports > Individual sports > Boxing,Culture,Boxing
30,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect success,55,Lifestyle > Personal development < Lifestyle > Society > Society > Culture > Fashion > New collections,Lifestyle,New collections
30,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,28,Culture > History > Medieval,Culture,Medieval
30,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,70,Lifestyle > Lifestyle > Culture > Culture > Hobbies > Hobbies > Science > Technology > Computers and internet,Lifestyle,Computers and internet
30,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,57,Hobbies > Outdoors > Hunting > Hunting < Outdoors > Outdoors > Outdoors > Science > Biology > Zoology,Hobbies,Zoology
30,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect success,42,Lifestyle > Personal development > Personal development > Fitness > Fitness < Lifestyle > Society > Health > Health issues,Lifestyle,Health issues
31,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,18,Trending > Popular articles,Trending,Popular articles
31,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct failure,28,Entertainment > Films > Reviews,Entertainment,Reviews
31,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,24,Entertainment > Films > Cinema > Cinemas near you,Entertainment,Cinemas near you
31,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,direct failure,17,Hobbies > Food > Recipes,Hobbies,Recipes
31,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct success,14,Society > Family and Relationships > Parenting,Society,Parenting
31,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,113,Society > Lifestyle > Fitness > Entertainment > Hobbies > Sports > Individual sports > Individual sports < Sports > Culture > Culture > Trending > Popular articles > Popular articles > Latest articles > Latest articles > Entertainment > Entertainment > Culture > Culture > About us > Lifestyle > Finances > Society > Society > Hobbies > Sports > Individual sports > Boxing,Society,Boxing
31,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct success,23,Culture > Fashion > New collections,Culture,New collections
31,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,54,Hobbies > Hobbies > Society > Lifestyle > Lifestyle > Culture > History > Medieval,Hobbies,Medieval
31,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,122,Science > Technology > Computers and internet > Culture > Culture > Lifestyle > Finances < Lifestyle > Society > Society > Science > Technology > Gadgets > Gadgets > Computers and internet,Science,Computers and internet
31,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect success,19,Science > Biology > Nature > Animals,Science,Animals
31,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct success,17,Society > Health > Health issues,Society,Health issues
32,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,23,Trending > Popular articles,Trending,Popular articles
32,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,26,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
32,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct success,22,Entertainment > Cinema > Cinemas near you,Entertainment,Cinemas near you
32,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,95.756,Lifestyle > Culture > Hobbies > Food > Regional cuisine > Recipes > Cooking,Lifestyle,Cooking
32,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,42,Society > Culture > Lifestyle > About us > Society > Family and Relationships > Parenting,Society,Parenting
32,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,58,Entertainment > Games > TV shows > Trending > Trending > Trending > Trending > Trending > Latest articles > Popular articles,Entertainment,Popular articles
32,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,35,Lifestyle > Culture > Fashion > Latest trends,Lifestyle,Latest trends
32,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,28,Culture > History > Medieval,Culture,Medieval
32,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,138,Lifestyle > Finances > Entertainment > Trending > Hobbies > Household > Culture > Lifestyle > Society > Entertainment > Games > Hobbies > Culture > Science > Technology > Computers and internet > Gadgets > Computers and internet,Lifestyle,Computers and internet
32,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct success,28,Science > Nature > Animals,Science,Animals
32,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect success,36,Lifestyle > Society > Health > Health issues,Lifestyle,Health issues
33,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,21,Trending > Popular articles,Trending,Popular articles
33,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,indirect success,56,Entertainment > Films > Reviews > Upcoming releases > Reviews > Genres > Comedy,Entertainment,Comedy
33,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct success,30,Entertainment > Cinema > Cinemas near you,Entertainment,Cinemas near you
33,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,55,Lifestyle > Lifestyle > Culture > Culture > Hobbies > Food > Recipes,Lifestyle,Recipes
33,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,39,Lifestyle > Personal development < Lifestyle > Culture > Culture > Society > Family and Relationships > Parenting,Lifestyle,Parenting
33,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,51,Entertainment > Entertainment > Trending > Trending > Culture > Culture > Society > Society > Culture > Culture > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
33,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct failure,23,Culture > Fashion > Latest trends,Culture,Latest trends
33,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,39,Hobbies > Hobbies > Science > Culture > History > Medieval,Hobbies,Medieval
33,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,70,Hobbies > Hobbies > Lifestyle > Lifestyle > Culture > Culture > Science > Technology > Computers and internet > Entertainment > Science > Technology > Computers and internet,Hobbies,Computers and internet
33,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct success,37,Science > Nature > Animals,Science,Animals
33,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect success,89,Science > Health and Medicine > Lifestyle > Fitness > Science > Health and Medicine > Treatments > Innovations < Science > Science > Society > Education > Education > Health > Health issues,Science,Health issues
34,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,indirect success,32,Trending > Trending > Trending > Popular articles,Trending,Popular articles
34,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,indirect success,14,Culture > Entertainment > Films > Genres > Comedy,Culture,Comedy
34,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect failure,12,Entertainment > Trending > Trending > Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
34,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,28,Culture > Entertainment > Hobbies > Food > Recipes,Culture,Recipes
34,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct failure,14,Lifestyle > Personal development > Self-care,Lifestyle,Self-care
34,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,39,Entertainment > Culture > Lifestyle > Fitness > Personal development > Entertainment > TV shows > Top rated,Entertainment,Top rated
34,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,27,Culture > Lifestyle > Personal development > Self-growth > Self-care,Culture,Self-care
34,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,105,Culture > History > Medieval,Culture,Medieval
34,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect failure,721.675,Entertainment > Entertainment > About us > Hobbies > Household > Entertainment > Games > Games > Games > Computer games,Entertainment,Computer games
34,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,38,Lifestyle > Science > Biology > Zoology,Lifestyle,Zoology
34,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,44,Lifestyle > Personal development > Self-care,Lifestyle,Self-care
